event_id,published_at,source,source_type,source_url,company,ticker,exchange,filing_type,announcement_type,title,summary,raw_text,country,project,resource_type,is_price_sensitive,production_guidance_change,capex_change,resource_update,offtake_or_mna,keyword_hit,ingested_at,project_name,name,url
214f724be5e3,2026-06-13,IGO Investor Relations,company_ir,https://www.igo.com.au/site/investor-center/asx-announcements,IGO,IGO,ASX,,resource_update,Investor Centre | IGO Limited - Making A Difference - quarterly report results december read,"OUTDATED BROWSER FOR A BETTER EXPERIENCE, KEEP YOUR BROWSER UP TO DATE. CHECK HERE FOR LATEST VERSIONS Investor Centre | IGO Limited - Making A Difference - quarterly report results december read --> --> Menu About IGO Our Locations IGO Purpose & Values Leadership Company Directory Governance Our Business Cosmos (Care & Maintenance) Critical Minerals Development Lab Exploration Exploration Summary Community Information Lithium Joint Venture Nova Nickel Operation Investor Centre ASX Announcements Share Price Financial Reports Annual Reports Sustainability Reports Mineral Resources and Ore Reser","OUTDATED BROWSER FOR A BETTER EXPERIENCE, KEEP YOUR BROWSER UP TO DATE. CHECK HERE FOR LATEST VERSIONS Investor Centre | IGO Limited - Making A Difference - quarterly report results december read --> --> Menu About IGO Our Locations IGO Purpose & Values Leadership Company Directory Governance Our Business Cosmos (Care & Maintenance) Critical Minerals Development Lab Exploration Exploration Summary Community Information Lithium Joint Venture Nova Nickel Operation Investor Centre ASX Announcements Share Price Financial Reports Annual Reports Sustainability Reports Mineral Resources and Ore Reserves Corporate Presentations & Speeches Key Dates Annual General Meeting Share Registry Contact Details Email Alerts Caring Our Sustainability Approach Operating with Integrity Driving Environmental Stewardship Transitioning to a Low Carbon Future Valuing and Protecting our People Partnering to Create Value Contact Us Careers About IGO Our Business Investor Centre Sustainability Careers --> Menu Section Title Menu Section List INVESTOR CENTRE Banner Description Investor Centre > ASX Announcements ASX Announcements Share Price Financial Reports Annual Reports Sustainability Reports Mineral Resources and Ore Reserves Corporate Presentations & Speeches Key Dates Annual General Meeting Share Registry Contact Details Email Alerts ASX Announcements Filter by year: Filter by year: 2026 2025 2024 2023 2022 2021 2020 2019 Older 10 Jun 2026 Chemical Grade Plant 3 Fire Incident 29 Apr 2026 Resignation of Chief Financial Officer 24 Apr 2026 Appointment of Company Secretary 24 Apr 2026 March 2026 Quarterly Presentation 24 Apr 2026 March 2026 Quarterly Activities Report 17 Apr 2026 Quarterly Activities Report Webcast Details 30 Mar 2026 Copper Wolf Ownership Consolidation 26 Mar 2026 Change of Director's Interest Notice 12 Mar 2026 Change of Director's Interest Notice 12 Mar 2026 Notification regarding unquoted securities - IGO 02 Mar 2026 Forrestania Transaction Completed 24 Feb 2026 2026 BMO Global Metals and Mining Conference Presentation 20 Feb 2026 Initial Director's Interest Notice 19 Feb 2026 1H26 Half Year Results Presentation 19 Feb 2026 December 2025 Half Year Financial Report and Appendix 4D 18 Feb 2026 Appointment of Non-Executive Director 12 Feb 2026 Greenbushes CY25 Resources and Reserves 11 Feb 2026 1H26 Half Year Results Webcast 29 Jan 2026 December 2025 Quarterly Presentation 29 Jan 2026 December 2025 Quarterly Activities Report 1 2 Next Registered Office Suite 4, L",Australia,Greenbushes,lithium,True,False,False,True,False,lithium; critical minerals; mine; resource; reserve,2026-06-13T12:50:18+00:00,Greenbushes,Greenbushes,https://www.igo.com.au/site/investor-center/asx-announcements
1a9a075da757,2023-08-24T07:00:00+00:00,Exchange Disclosure Backup: IGO,exchange_disclosure,https://news.google.com/rss/articles/CBMie0FVX3lxTE0wcXZWeUJUVlo0MkhULXRjNXVfY1pMTjVyR0pyQzc2T25NMk5IMUZ5ZDd0OGdpT0VPYjhaWFltNlk4bmdJVmpWQzlTcndnSDQwRWJEOUxnVEkxeHdfaFRHTTFzM2VKQ3BITm5reDB1UHZabkh4SGM1TEdKaw?oc=5,IGO,IGO,ASX,,other,Pilbara Minerals - announcements.asx.com.au,Pilbara Minerals announcements.asx.com.au,Pilbara Minerals announcements.asx.com.au,Australia,,,False,False,False,False,False,mine,2026-06-13T12:50:22+00:00,,,https://news.google.com/rss/articles/CBMie0FVX3lxTE0wcXZWeUJUVlo0MkhULXRjNXVfY1pMTjVyR0pyQzc2T25NMk5IMUZ5ZDd0OGdpT0VPYjhaWFltNlk4bmdJVmpWQzlTcndnSDQwRWJEOUxnVEkxeHdfaFRHTTFzM2VKQ3BITm5reDB1UHZabkh4SGM1TEdKaw?oc=5
99f661d22284,2025-06-04T07:00:00+00:00,Exchange Disclosure Backup: IGO,exchange_disclosure,https://news.google.com/rss/articles/CBMie0FVX3lxTE1fVFRpXy0wb3dMaGhhb0tqcEgyQVB4UWVDSDNqNnVUanNpRmdrdl9MYW8xYWNybGFvSi04clRzdDR3V2dsTDBqNGEtSXFRN2JsQS0tQUJVNlRkc2NndlpzMDlMbjV1ai1pWmVKTGxmU2YzT3Q1OXk0a29mRQ?oc=5,IGO,IGO,ASX,,other,Project 300 - Transaction Booklet (Draft 4.06.2025) - announcements.asx.com.au,Project 300 - Transaction Booklet (Draft 4.06.2025) announcements.asx.com.au,Project 300 - Transaction Booklet (Draft 4.06.2025) announcements.asx.com.au,Australia,,,False,False,False,False,False,project,2026-06-13T12:50:22+00:00,,,https://news.google.com/rss/articles/CBMie0FVX3lxTE1fVFRpXy0wb3dMaGhhb0tqcEgyQVB4UWVDSDNqNnVUanNpRmdrdl9MYW8xYWNybGFvSi04clRzdDR3V2dsTDBqNGEtSXFRN2JsQS0tQUJVNlRkc2NndlpzMDlMbjV1ai1pWmVKTGxmU2YzT3Q1OXk0a29mRQ?oc=5
abec1960674f,2022-11-22T08:00:00+00:00,Exchange Disclosure Backup: IGO,exchange_disclosure,https://news.google.com/rss/articles/CBMibkFVX3lxTE5FUVA1X3d2ekZ5Z0VQRXFXbkpvSlh6RW05Y1p3MHdNZHgyUExMTWtUWHVOMVlodHNVSENzWUV4bXBSVXFVR0ZGNWFMbGU1UXdsZlBVRll3U2YwS01NZ3dxWEdvNGFZTXFxQkJCcGJ3?oc=5,IGO,IGO,ASX,,resource_update,AGGRESSIVELY EXPLORING WA MINERAL RESOURCE TARGETS - Australian Securities Exchange | ASX,AGGRESSIVELY EXPLORING WA MINERAL RESOURCE TARGETS Australian Securities Exchange | ASX,AGGRESSIVELY EXPLORING WA MINERAL RESOURCE TARGETS Australian Securities Exchange | ASX,Australia,,,True,False,False,True,False,mine; resource,2026-06-13T12:50:22+00:00,,,https://news.google.com/rss/articles/CBMibkFVX3lxTE5FUVA1X3d2ekZ5Z0VQRXFXbkpvSlh6RW05Y1p3MHdNZHgyUExMTWtUWHVOMVlodHNVSENzWUV4bXBSVXFVR0ZGNWFMbGU1UXdsZlBVRll3U2YwS01NZ3dxWEdvNGFZTXFxQkJCcGJ3?oc=5
1e1b73958b3f,2024-01-30T08:00:00+00:00,Google News Backup: IGO,google_news_backup,https://news.google.com/rss/articles/CBMiekFVX3lxTE5ndWFwRUNLVE5xaFlGWkR4WTkyM1hJU2lsWHdTQ0xqNXhYdGhDdDA3MEM4dHZmZUswcXZ5V3F2TG0zMWw3dEpLcWNGdl9vVllINUpfVGtKWGJLWUx3LUdacnQtbEk4Q2h5UXdmN1pzaHNHM1F4ei1LbDhR?oc=5,IGO,IGO,ASX,,other,Lithium operations reduction at WA mine - Mining Magazine Australia,Lithium operations reduction at WA mine Mining Magazine Australia,Lithium operations reduction at WA mine Mining Magazine Australia,Australia,,lithium,False,False,False,False,False,lithium; mine,2026-06-13T12:50:26+00:00,,,https://news.google.com/rss/articles/CBMiekFVX3lxTE5ndWFwRUNLVE5xaFlGWkR4WTkyM1hJU2lsWHdTQ0xqNXhYdGhDdDA3MEM4dHZmZUswcXZ5V3F2TG0zMWw3dEpLcWNGdl9vVllINUpfVGtKWGJLWUx3LUdacnQtbEk4Q2h5UXdmN1pzaHNHM1F4ei1LbDhR?oc=5
795745849bcf,2023-06-29T07:00:00+00:00,Exchange Disclosure Backup: Allkem,exchange_disclosure,https://news.google.com/rss/articles/CBMiowFBVV95cUxNVkFLUDNubjA4alY1NVdZeHo5dk8wOC1FRGxDcTdpWFVOLTI4RjhQQmpGbV9LN1R4ZkctWnktWGZZbF84cjd0czZGQ1M5TjVhVWQ3a0tlVVBFWGw4bzRBelFkZUY2dkFYNlc4RmRLU0xVVEVaRjlzdmRyT0FfXzFGUUVkQ2hJYmw2UzVDYWk3MWoybURTRm80czNtT1drOVdqYW80?oc=5,Allkem,AKE,ASX,,other,Leo Lithium (LLL) - Australian Securities Exchange | ASX,Leo Lithium (LLL) Australian Securities Exchange | ASX,Leo Lithium (LLL) Australian Securities Exchange | ASX,Australia,,lithium,False,False,False,False,False,lithium,2026-06-13T12:50:22+00:00,,,https://news.google.com/rss/articles/CBMiowFBVV95cUxNVkFLUDNubjA4alY1NVdZeHo5dk8wOC1FRGxDcTdpWFVOLTI4RjhQQmpGbV9LN1R4ZkctWnktWGZZbF84cjd0czZGQ1M5TjVhVWQ3a0tlVVBFWGw4bzRBelFkZUY2dkFYNlc4RmRLU0xVVEVaRjlzdmRyT0FfXzFGUUVkQ2hJYmw2UzVDYWk3MWoybURTRm80czNtT1drOVdqYW80?oc=5
9d1246d3374c,2023-09-25T07:54:30+00:00,Google News Backup: Allkem,google_news_backup,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRloxY2RVWldpa2tsUmppMnhzOUNrdS1mbkFuOTdMZ0ZsY3Vpcy1NbS1TTGs3aTlMM3B6ckNCdUtuZnFNdmpNUFVvSW02NFZCbUxMTTlxV29WTVQ3ZnZqVXNGS184dTJkOF9yQk9DQ1BfQjhnekZYTE1OaS1DY1hlcXlEZFd4MVVyUk85bFJINUVmMUQtMDRxaDlGQWhsV25SbzRlZ2xfZ3NKdGI2VzNxQXZ1NEtzNEE5SVRrYTZhRUQ1RDVJRGdaTFBWN1BGQkJKT25wVDdaOVFSbmVERUNIRmNMaGY3Y0pKMmpoNXlOV0ZPdw?oc=5,Allkem,AKE,ASX,,project_update,Allkem: James Bay Lithium Project Update Confirms Strong Project Economics - Junior Mining Network,Allkem: James Bay Lithium Project Update Confirms Strong Project Economics Junior Mining Network,Allkem: James Bay Lithium Project Update Confirms Strong Project Economics Junior Mining Network,Australia,James Bay,lithium,True,False,False,False,False,lithium; project,2026-06-13T12:50:27+00:00,James Bay,James Bay,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRloxY2RVWldpa2tsUmppMnhzOUNrdS1mbkFuOTdMZ0ZsY3Vpcy1NbS1TTGs3aTlMM3B6ckNCdUtuZnFNdmpNUFVvSW02NFZCbUxMTTlxV29WTVQ3ZnZqVXNGS184dTJkOF9yQk9DQ1BfQjhnekZYTE1OaS1DY1hlcXlEZFd4MVVyUk85bFJINUVmMUQtMDRxaDlGQWhsV25SbzRlZ2xfZ3NKdGI2VzNxQXZ1NEtzNEE5SVRrYTZhRUQ1RDVJRGdaTFBWN1BGQkJKT25wVDdaOVFSbmVERUNIRmNMaGY3Y0pKMmpoNXlOV0ZPdw?oc=5
2820c1d7aa28,2024-08-19T07:00:00+00:00,Exchange Disclosure Backup: Core Lithium,exchange_disclosure,https://news.google.com/rss/articles/CBMie0FVX3lxTE9qQk5QQ1VmVzdyZ3FiWldhWFg4ZTBXWTc5cGpFUDNxT0dNUzVfSnFBeGpPX3ZHU1VMbUEyb1hJb0tTSnVtcm1ucW9HSlJzN19GLWVjaTl2bTFmc2FrS0M3T3J2NHFzTnJfWVFiQVZUR1RMTmVtaU05YXBTVQ?oc=5,Core Lithium,CXO,ASX,,other,For personal use only - announcements.asx.com.au,For personal use only announcements.asx.com.au,For personal use only announcements.asx.com.au,Australia,,,False,False,False,False,False,lithium,2026-06-13T12:50:23+00:00,,,https://news.google.com/rss/articles/CBMie0FVX3lxTE9qQk5QQ1VmVzdyZ3FiWldhWFg4ZTBXWTc5cGpFUDNxT0dNUzVfSnFBeGpPX3ZHU1VMbUEyb1hJb0tTSnVtcm1ucW9HSlJzN19GLWVjaTl2bTFmc2FrS0M3T3J2NHFzTnJfWVFiQVZUR1RMTmVtaU05YXBTVQ?oc=5
d012794c37ff,2025-08-28T07:00:00+00:00,Exchange Disclosure Backup: Core Lithium,exchange_disclosure,https://news.google.com/rss/articles/CBMie0FVX3lxTE56b2NQbE43eWRyRjdaWjVlUFJES2NjMmM3UEFfSmYwNnlQOFVYaFJtT2pDWmNsazhZYTdBX29IVFBBZHJkV19xdUZuZHVlUXRPVUJDaEV2dGdTNDlMTF9kX1hlTjlnNXJ5OHFkZ2NlY2tJSUNxQXdmd3JpVQ?oc=5,Core Lithium,CXO,ASX,,other,EQUITY RAISING PRESENTATION - announcements.asx.com.au,EQUITY RAISING PRESENTATION announcements.asx.com.au,EQUITY RAISING PRESENTATION announcements.asx.com.au,Australia,,,False,False,False,False,False,lithium,2026-06-13T12:50:23+00:00,,,https://news.google.com/rss/articles/CBMie0FVX3lxTE56b2NQbE43eWRyRjdaWjVlUFJES2NjMmM3UEFfSmYwNnlQOFVYaFJtT2pDWmNsazhZYTdBX29IVFBBZHJkV19xdUZuZHVlUXRPVUJDaEV2dGdTNDlMTF9kX1hlTjlnNXJ5OHFkZ2NlY2tJSUNxQXdmd3JpVQ?oc=5
38e830b0ba34,2026-05-13T07:00:00+00:00,Google News Backup: Core Lithium,google_news_backup,https://news.google.com/rss/articles/CBMilAFBVV95cUxNcWpkTnZKdklaSzdaMGNNTTBIbmNoRDBWQ0ltY3JOM1ZlanUyRFpiTnNRRHBSbm1BcnNTa041YzM4M1hLaHUybUdERmhSanNOT25LSEhWYk9VeXBiNVZJMXh4SldFT3F3M2lvTzNiZkpQbHFaMl8wMjhsdlRZNFdhLUZ0QVd5cjFFSjkzZ2xac2hRenot?oc=5,Core Lithium,CXO,ASX,,other,"Wednesday’s HotCopper Trends: Arafura, Anson & Core Lithium Surge - Discovery Alert","Wednesday’s HotCopper Trends: Arafura, Anson & Core Lithium Surge Discovery Alert","Wednesday’s HotCopper Trends: Arafura, Anson & Core Lithium Surge Discovery Alert",Australia,,lithium,False,False,False,False,False,lithium,2026-06-13T12:50:27+00:00,,,https://news.google.com/rss/articles/CBMilAFBVV95cUxNcWpkTnZKdklaSzdaMGNNTTBIbmNoRDBWQ0ltY3JOM1ZlanUyRFpiTnNRRHBSbm1BcnNTa041YzM4M1hLaHUybUdERmhSanNOT25LSEhWYk9VeXBiNVZJMXh4SldFT3F3M2lvTzNiZkpQbHFaMl8wMjhsdlRZNFdhLUZ0QVd5cjFFSjkzZ2xac2hRenot?oc=5
