event_id,published_at,source,source_url,title,summary,raw_text,country,company,project,resource_type,keyword_hit,ingested_at
b1d07ae500fb,2026-04-08T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMisAFBVV95cUxQamdueThoNzI4NnZsbWRsU3hsak1QVFN2aHh2YXNseVo2MWhkV2ZJMXkzWE1hczZpYVFRUW9iMWxrclFsNlhHWkdwZUhPMEE2a3g4TEkzZGItMTQ5a0htYU9HYlRmVldsRDJGTHFWbFdScVMtZXVOTE1lUFhWckNPR0hkckwybndpRU1ueVVybGd4cG5fQjlydzl0SW1wY20ycWU2eXdFXy10aVByVlB4Qg?oc=5,Q1 2026 Lithium Market: Prices Double Amid Supply Strain - Investing News Network,Q1 2026 Lithium Market: Prices Double Amid Supply Strain Investing News Network,Q1 2026 Lithium Market: Prices Double Amid Supply Strain Investing News Network,,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
054c2d293651,2026-01-23T08:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMifkFVX3lxTFBQV1ltN0FUQ002VW9QcmVuUnB4MjJKVkpCUTU3X1pncmlaTGVYLXFQT0pFT3lBaHVZYWxVd2h6N3BISGlLVnZFbkVOOV9ETVdmRHM1Ni1TT05Pcm5QMFJ1SXpwYjNWb1Jqb0Q2WFVZSGYyODhXUTBOT3BPNksxZw?oc=5,Lithium Miners News For The Month Of January 2026 - Seeking Alpha,Lithium Miners News For The Month Of January 2026 Seeking Alpha,Lithium Miners News For The Month Of January 2026 Seeking Alpha,,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
f0caa36b9a93,2026-03-13T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMilwFBVV95cUxPTXg3TmxVYVBCU2dTZ1JaNXZCMWlQMDItMFRsRnktU0dxeE9XZnBJaFoyWl8ySWtzTUN4OUZKT0lYclFmRjl4OG9iR3Q5eEpVWGJiVV9jM0pFVjJldGNVOVVNNF9yZmFuLXNQdzdheTl5SVJsVjBBYS1uNmROUzVxeGFHSUFKZ3h5bXYwLW9jdE9uY1otM0xj?oc=5,Rio Tinto to delay Quebec lithium plant build - The Northern Miner,Rio Tinto to delay Quebec lithium plant build The Northern Miner,Rio Tinto to delay Quebec lithium plant build The Northern Miner,,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
b3ac2fdc2b3f,2025-12-25T08:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMimgFBVV95cUxNVDExaDlJRUdMS01oNVNmN05MMmxTcm1PM0pZX2xXdE5PcWcxdV96cWJTNUhpakpWVDFjR1RIX3ItWm1UaEJ5a3Y2cDE5dnMtR3ZrOVpoWUpOSGZOYkc1T25XeUotN1l2NFU0NW5mSXBIamxSZkxGdDRndlg1M01zT0k2SWprWnhTZUN3amRPSDlKQW9FcUtsUFN30gGYAUFVX3lxTE9EV0JKUEdGVUcwVDV4S0NaSW1XMmlPdFJNaXdHVTF5TTVDU2JfNWt1Q3hiUXRqZkQwSDFFcXBxV0pucjJxUk42NkpxeVNvdURrTWZHalp6bldaLTNaMVRJd05yemg4UTBwbXlid05DajlqanhOb0NqdGZCU1hObDN6S1ZmcG5rWHhqR08zd3doeUtpU1lBMm5X?oc=5,From Hope to Hardship: How delayed Ewoyaa Lithium deal is crushing families - Modern Ghana,From Hope to Hardship: How delayed Ewoyaa Lithium deal is crushing families Modern Ghana,From Hope to Hardship: How delayed Ewoyaa Lithium deal is crushing families Modern Ghana,,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
0de1531b7a88,2026-03-13T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMieEFVX3lxTE9SMS1HVE9ZWEhaVW1UNVdod2dubkppRWZXTDRUdkI4STRsaEJRek1LYTNjUmVMU2lJeS1rZllKTjJld3I4b3Q1UmQ5cWxZaWxvRElCc1VaYlZDV0dqTEZkNTFGd0FGbldmR003QzNPWUtXUFFySWdoMg?oc=5,"Rio Tinto slows Quebec lithium plant build, timeline intact - Mining.com","Rio Tinto slows Quebec lithium plant build, timeline intact Mining.com","Rio Tinto slows Quebec lithium plant build, timeline intact Mining.com",,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
2f6d47b41720,2026-04-30T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMi4wFBVV95cUxNNzJINnJVYWR2TVhPZkFOamJ5Q3JQWGNSaGNFS3pSTDdNbjJQYlRlYkxqWFRNeHFCeGloVTJ2RmFRby12ZWxPelpsLVJFQnVidGxkWGt1b0VEeHREbGJ1ZmhZSC1LdElwUHJNZ1NSaENPd0FWYWd6b0xBTEFqd1Jia0JNQ0c4YkNFZnBhc21NMFBSc1FkNTVRaWFOV1NMZDJyVGVMdUJXYzZSVjhzLXFlUktSamJnVUdzRWYyNW1Jcmc1bU0wREpfRlJRSnlzWWpieUxTdU12d0tBY0JQaVlsaVMtWQ?oc=5,Delay in lithium stake sale a win for MinRes - The West Australian,Delay in lithium stake sale a win for MinRes The West Australian,Delay in lithium stake sale a win for MinRes The West Australian,Australia,Mineral Resources,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
93a3bf71967a,2025-05-02T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOTlY1T1AzSFB1RktEanpNcW5oU0RiWnZoY2wtZDIydllzU0psT2JHLThEMDFUZnlRUTVIblI5MGxhelFDdW91aDBzNVh5U0dsb3luUTRBU2FVZEVBT2dnV2xUb1dIRDB0SHcxYlUzb1RiLXBKRkpPMEFCVmJiNVViWlNsSDVQdjBXUElqeEk3SjUtOVFEbkxGQzh6YzdrUGhVdWMxNWYzYm1jTzBDVzkzNWJkYmViNlZGYmVqd3J5cjZhYjRTQXpvNVZFd0wydlZDeTFrbEdXNlZ3UXlU?oc=5,"Brazil low-cost lithium production: A potential global reference, but internal challenges may delay progress - Fastmarkets","Brazil low-cost lithium production: A potential global reference, but internal challenges may delay progress Fastmarkets","Brazil low-cost lithium production: A potential global reference, but internal challenges may delay progress Fastmarkets",Brazil,,,spodumene,lithium; spodumene; mine; production,2026-06-13T12:35:24+00:00
640774aac69d,2025-10-09T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMiugFBVV95cUxONzVrc1p3cTdDbExaS2hJUHBxWG9HaEgyVlZjMXpheUVHbk4tdjJpVzV4Vld5MW5JYjJkY3ZFWWJXTlY2SExoR2JHb1g4Z0QwQTFLQkpCcFZWWGVSVm5mRHVraHBPTWhhWnd6M1U3T1huVnZQcmctalZ3QzJ3NWpYamJlem1hMi1MLVBWMDU3VmhSWThiSTRzWFJUMHMyQURfR04xeG5NV2RpWGc0cmltRjNYMk1OYU5yekE?oc=5,Ford slashes lithium deal with Gina Rinehart-backed Liontown - AFR,Ford slashes lithium deal with Gina Rinehart-backed Liontown AFR,Ford slashes lithium deal with Gina Rinehart-backed Liontown AFR,,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
28d2591a52af,2023-07-17T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBUME9xb2pMOUxxdm5yamRKamszU0NVVXFJbTZhX2xSaVljTFVldHFTUVZiZ1RUWVRmZFZsVkgwdkM1S1l4MVZQRUxxUGdKREw2enFBZnFoVVFVMXE0VkE?oc=5,"Maine Has the Lithium America Needs, But Won't Allow Mining - Time Magazine","Maine Has the Lithium America Needs, But Won't Allow Mining Time Magazine","Maine Has the Lithium America Needs, But Won't Allow Mining Time Magazine",,,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
be55f2a40319,2024-05-03T07:00:00+00:00,Google News RSS: spodumene mine delay,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPRlBiWWljdWFwV0gyT3BtVkp5dXVJR2hsRnF3SWw3MS1jVVliZEZTbHNyVm50ckZfaW1tZkg5cThrajhXRTZ0Q3lFTlZ6RTdiMUZaaDc3RlJNdDYwWUpPSWxSSnVscjlneElScTFEM1NKaW83eDlleE5IbmZ1bWpPN29Lb1Jlbk9FSG9seDlkTUYtTWZHYU1sRXVFQmJraVY0Uzh0WFBZTS1wZ9IBrwFBVV95cUxNU3NWWkpiX0RXODhhS2h0dmh4T21DdFZROG1hOS02VHh6MzJMU0Nkem5xcGN4N0lTd3pIT3hfNlI3NlpicGd3bzFib3FUbzBYMldHOW5NdFhoZUczeFhUaERUbEdoNjVZNVcxVXZnRjlmQ0VheDBZdlpHWEVpNFU1QkVyRUQxZGM0MXdQQTVkV3BYbDZNc1FlZW0zZXFPb25QWnFsX25KZzNLa3pYdDZF?oc=5,Lithium giant Albemarle’s plans to reopen a rich mine in North Carolina will take years to complete - CNBC,Lithium giant Albemarle’s plans to reopen a rich mine in North Carolina will take years to complete CNBC,Lithium giant Albemarle’s plans to reopen a rich mine in North Carolina will take years to complete CNBC,,Albemarle,,spodumene,lithium; spodumene; mine,2026-06-13T12:35:24+00:00
