event_id,event_source_category,published_at,source,source_url,title,title_cn,summary,summary_cn,country,company,project,resource_type,event_type,event_nature,impact_direction,event_priority_score,priority_level,catl_relevance_score,supply_impact_lce,price_impact_direction,confidence_level,is_top_event,project_name,name,url
913db4840efd,disclosure,2026-03-18T07:00:00+00:00,Google News Backup: Core Lithium,https://news.google.com/rss/articles/CBMifEFVX3lxTE5JdGx6RTlzcDFsdDE0WWg5QThMamRPOURuaF9FeWhwaDNRRHU3N2RXeTJOQjJJR21jUi1abnR5TzVUWVhOc3ZjQ0VHTGxSeElBX1pad2lHRTVGVEp1UnVwSHJhZUhrZkxTbk1oRC11aXdMTVdad2stVHpLaUo?oc=5,Core Lithium’s Finniss Lithium Project Is Go! And Glencore is Helping With the Restart! - Stocks Down Under,Core Lithium Finniss项目重启推进，Glencore参与复产支持,Core Lithium’s Finniss Lithium Project Is Go! And Glencore is Helping With the Restart! Stocks Down Under,Australia / Core Lithium / Finniss：供给收缩，需关注对供应安全、采购成本和资源配置节奏的影响。,Australia,Core Lithium,Finniss,lithium,供给收缩,供应扰动,负面,195,P1,70,0,上行,中,True,Finniss,Finniss,https://news.google.com/rss/articles/CBMifEFVX3lxTE5JdGx6RTlzcDFsdDE0WWg5QThMamRPOURuaF9FeWhwaDNRRHU3N2RXeTJOQjJJR21jUi1abnR5TzVUWVhOc3ZjQ0VHTGxSeElBX1pad2lHRTVGVEp1UnVwSHJhZUhrZkxTbk1oRC11aXdMTVdad2stVHpLaUo?oc=5
0c2d1575df21,news,2026-02-25T08:00:00+00:00,Google News RSS: lithium export ban,https://news.google.com/rss/articles/CBMimgFBVV95cUxOc2ZBcDlNVlFIQllVNGJSeV9FQmtSMWJJVHE4ZnlKWVBURHJhZkZ2MlgwSVNLejlwUGhHa2NUNTdaeUZaVDh2Wlo5dGtBa1FrVWwzUzh1c2tQTGFXVDE4LTFCRjdFT0dGLS0xYk1WYkNNV3RRTHlSUG52d1E2VlNLMHdFdGlPMlhwMkNmVk1HLWlQTnZ6VXYtQkhR?oc=5,Albemarle and fellow lithium miners jump on Zimbabwe export ban - Sherwood News,Albemarle面临出口限制或政策收紧,Albemarle and fellow lithium miners jump on Zimbabwe export ban Sherwood News,Zimbabwe / Albemarle：政策收紧，需关注对供应安全、采购成本和资源配置节奏的影响。,Zimbabwe,Albemarle,,lithium,政策收紧,政策变化,负面,167,P1,70,0,上行,中,True,,,https://news.google.com/rss/articles/CBMimgFBVV95cUxOc2ZBcDlNVlFIQllVNGJSeV9FQmtSMWJJVHE4ZnlKWVBURHJhZkZ2MlgwSVNLejlwUGhHa2NUNTdaeUZaVDh2Wlo5dGtBa1FrVWwzUzh1c2tQTGFXVDE4LTFCRjdFT0dGLS0xYk1WYkNNV3RRTHlSUG52d1E2VlNLMHdFdGlPMlhwMkNmVk1HLWlQTnZ6VXYtQkhR?oc=5
391df1c08f4d,news,2025-07-01T07:00:00+00:00,Google News RSS: SQM lithium production,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPajJHWmxJQWV1V3FiZFdmeDVOcHNYZlV4U0hJVzI5ZW5PLUhSZEhnR2xvZFVEZV9hRzJneVdZUXNzR21haEN5YXF5NnJ4VDVIODMwenNLdFJTQ2g4a2pmQUx3Ujc4SWVfMFdmdHNDZE04MEk1X2xZVjlLRXFjTWpHSUcxRDE4UmhhdlZWZ1JQd1F5ZUxiS1F6X3FVUEhsZDBzOFluOFNrclJ1WmNKc09rNWVpQmtiUGduRDIyOEhHUktxdw?oc=5,Chile's Codelco secures new lithium quota for SQM partnership - Reuters,SQM面临出口限制或政策收紧,Chile's Codelco secures new lithium quota for SQM partnership Reuters,Chile / SQM：政策收紧，需关注对供应安全、采购成本和资源配置节奏的影响。,Chile,SQM,,lithium,政策收紧,政策变化,负面,167,P1,70,0,上行,中,True,,,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPajJHWmxJQWV1V3FiZFdmeDVOcHNYZlV4U0hJVzI5ZW5PLUhSZEhnR2xvZFVEZV9hRzJneVdZUXNzR21haEN5YXF5NnJ4VDVIODMwenNLdFJTQ2g4a2pmQUx3Ujc4SWVfMFdmdHNDZE04MEk1X2xZVjlLRXFjTWpHSUcxRDE4UmhhdlZWZ1JQd1F5ZUxiS1F6X3FVUEhsZDBzOFluOFNrclJ1WmNKc09rNWVpQmtiUGduRDIyOEhHUktxdw?oc=5
8de4646bb52f,news,2025-03-24T07:00:00+00:00,Google News RSS: Tianqi lithium project,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZXA5eDh3M3AyZzFNM1ZmeGtlSi13VFdwYU9qMkhPZHk4bFZGSmtRSVg1M04xajZ2TjVId0dpcWtEbVNCblp1akI0UkVPTF9MSXpmck9IdXNDbkJFRl96Z1Z6bWtHUG56dThVeEZNY3pLYUdwWnh4STRaXzBiTmFDanlXTlVXeDQ0a1VVZG8tQlU1ZS12TnJsOVk0SXc0LVZOX1d3Y19zTHU5elFBZld4ZGU1Zw?oc=5,Australia’s lithium dream is fading. Can tax breaks revive it? - AFR,Tianqi Lithium涉及税费、矿业法或许可政策变化,Australia’s lithium dream is fading. Can tax breaks revive it? AFR,Australia / Tianqi Lithium：政策变化，需关注对供应安全、采购成本和资源配置节奏的影响。,Australia,Tianqi Lithium,,lithium,政策变化,政策变化,负面,157,P1,70,0,上行,中,True,,,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZXA5eDh3M3AyZzFNM1ZmeGtlSi13VFdwYU9qMkhPZHk4bFZGSmtRSVg1M04xajZ2TjVId0dpcWtEbVNCblp1akI0UkVPTF9MSXpmck9IdXNDbkJFRl96Z1Z6bWtHUG56dThVeEZNY3pLYUdwWnh4STRaXzBiTmFDanlXTlVXeDQ0a1VVZG8tQlU1ZS12TnJsOVk0SXc0LVZOX1d3Y19zTHU5elFBZld4ZGU1Zw?oc=5
4d972e1d7d1a,news,2023-11-30T08:00:00+00:00,Google News RSS: Ganfeng lithium project,https://news.google.com/rss/articles/CBMisAFBVV95cUxONm5COE5NMDQwb2hfbHVvZWRUY3FJQTF3Umx5TkJlSk12bUtmYXJ6by1oS3BFdnM2LU1wcVYyYXd2Umh1N2lsZ1pET3ZwUFJpQ3JONDZJY2VPRTJ3d3FKVUc3SmJpZU5GMVNLYUpQSUNWT2Z3Qk9HTWQxbldoR180OHpidS1hTktfMXV3Z0hVOGpTUzlwMHhaTVVMMTJlSjBOZU5vMGhqWXV2THY3aEl1Nw?oc=5,Chinese company says cancellation of lithium mining concessions confirmed - Mexico News Daily,Ganfeng Lithium涉及税费、矿业法或许可政策变化,Chinese company says cancellation of lithium mining concessions confirmed Mexico News Daily,China / Ganfeng Lithium：政策变化，需关注对供应安全、采购成本和资源配置节奏的影响。,China,Ganfeng Lithium,,lithium,政策变化,政策变化,负面,157,P1,70,0,上行,中,True,,,https://news.google.com/rss/articles/CBMisAFBVV95cUxONm5COE5NMDQwb2hfbHVvZWRUY3FJQTF3Umx5TkJlSk12bUtmYXJ6by1oS3BFdnM2LU1wcVYyYXd2Umh1N2lsZ1pET3ZwUFJpQ3JONDZJY2VPRTJ3d3FKVUc3SmJpZU5GMVNLYUpQSUNWT2Z3Qk9HTWQxbldoR180OHpidS1hTktfMXV3Z0hVOGpTUzlwMHhaTVVMMTJlSjBOZU5vMGhqWXV2THY3aEl1Nw?oc=5
e9e9baada130,disclosure,2023-09-25T07:54:30+00:00,Google News Backup: Allkem,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRloxY2RVWldpa2tsUmppMnhzOUNrdS1mbkFuOTdMZ0ZsY3Vpcy1NbS1TTGs3aTlMM3B6ckNCdUtuZnFNdmpNUFVvSW02NFZCbUxMTTlxV29WTVQ3ZnZqVXNGS184dTJkOF9yQk9DQ1BfQjhnekZYTE1OaS1DY1hlcXlEZFd4MVVyUk85bFJINUVmMUQtMDRxaDlGQWhsV25SbzRlZ2xfZ3NKdGI2VzNxQXZ1NEtzNEE5SVRrYTZhRUQ1RDVJRGdaTFBWN1BGQkJKT25wVDdaOVFSbmVERUNIRmNMaGY3Y0pKMmpoNXlOV0ZPdw?oc=5,Allkem: James Bay Lithium Project Update Confirms Strong Project Economics - Junior Mining Network,Allkem James Bay项目：项目审批,Allkem: James Bay Lithium Project Update Confirms Strong Project Economics Junior Mining Network,Australia / Allkem / James Bay：项目审批，需关注对供应安全、采购成本和资源配置节奏的影响。,Australia,Allkem,James Bay,lithium,项目审批,项目变化,正面,155,P1,70,0,中性,中,False,James Bay,James Bay,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQRloxY2RVWldpa2tsUmppMnhzOUNrdS1mbkFuOTdMZ0ZsY3Vpcy1NbS1TTGs3aTlMM3B6ckNCdUtuZnFNdmpNUFVvSW02NFZCbUxMTTlxV29WTVQ3ZnZqVXNGS184dTJkOF9yQk9DQ1BfQjhnekZYTE1OaS1DY1hlcXlEZFd4MVVyUk85bFJINUVmMUQtMDRxaDlGQWhsV25SbzRlZ2xfZ3NKdGI2VzNxQXZ1NEtzNEE5SVRrYTZhRUQ1RDVJRGdaTFBWN1BGQkJKT25wVDdaOVFSbmVERUNIRmNMaGY3Y0pKMmpoNXlOV0ZPdw?oc=5
969ee247d536,disclosure,2023-09-25T07:00:00+00:00,Google News Backup: Mineral Resources,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNQnFiSkVhTDh2dm1VMjRxYlB4NEZMSnRlZWJHSUVtWnBCQ2FLYVNueUM4dmNRZXN5Y0Z2M1VIY3MwaVVxZGdqZ29ydzZldUhWYmpMRjczbEdmbFp1cmNiYjJVQkxpOFA2VzVJd3BUV2NxMW5KZlFaMjRDWkFJSEt0Nl9sVmtjTl9MeHBpZFVUN3RfdG1CNm5QVFZFVnBockxDeEtxQ3dSbHdGbEJpNHM4LWtfVlh3MWRvRlc2MTY2eWV6VGlTWmdWcl91azItb2pBUnBsVA?oc=5,James Bay Lithium Project Update Confirms Strong Project Economics - GlobeNewswire,Mineral Resources James Bay项目：项目审批,James Bay Lithium Project Update Confirms Strong Project Economics GlobeNewswire,Australia / Mineral Resources / James Bay：项目审批，需关注对供应安全、采购成本和资源配置节奏的影响。,Australia,Mineral Resources,James Bay,lithium,项目审批,项目变化,正面,155,P1,70,0,中性,中,False,James Bay,James Bay,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNQnFiSkVhTDh2dm1VMjRxYlB4NEZMSnRlZWJHSUVtWnBCQ2FLYVNueUM4dmNRZXN5Y0Z2M1VIY3MwaVVxZGdqZ29ydzZldUhWYmpMRjczbEdmbFp1cmNiYjJVQkxpOFA2VzVJd3BUV2NxMW5KZlFaMjRDWkFJSEt0Nl9sVmtjTl9MeHBpZFVUN3RfdG1CNm5QVFZFVnBockxDeEtxQ3dSbHdGbEJpNHM4LWtfVlh3MWRvRlc2MTY2eWV6VGlTWmdWcl91azItb2pBUnBsVA?oc=5
bd5df769dc31,disclosure,2026-05-29T09:32:22+00:00,Google News Backup: Lithium Americas,https://news.google.com/rss/articles/CBMixgFBVV95cUxOUXMzYzVJYWNzbExReDZtM3RxWnk1SDBuOVBwbE1HTzQxQmhVMTlFYWhDQzBSNk54NVBHcldsb2s4UEJnaEhUT25rQ1NMd0RueFdUVF8wbTZLZkZEbjVOc0NwUngycTdvbVNjd2NmcEhsbXJMdDJnRHljYzBjZlctOE1pNzZsQXlDSFFFV1drTFdubUU0LVdYSUs1ME1hang4YS1vZ2YxakpJZ01lNzVUWDJCVDFXbUtnMFlxV2dYM0pxZTZLdlE?oc=5,LAC Q1 2026 Earnings: EPS Beats Estimates as Company Advances Lithium Projects - Revenue Estimate Trend - The Legal Advocate,Lithium Americas：政策变化,LAC Q1 2026 Earnings: EPS Beats Estimates as Company Advances Lithium Projects - Revenue Estimate Trend The Legal Advocate,Canada / Lithium Americas：政策变化，需关注对供应安全、采购成本和资源配置节奏的影响。,Canada,Lithium Americas,,lithium,政策变化,政策变化,负面,155,P1,70,0,上行,高,False,,,https://news.google.com/rss/articles/CBMixgFBVV95cUxOUXMzYzVJYWNzbExReDZtM3RxWnk1SDBuOVBwbE1HTzQxQmhVMTlFYWhDQzBSNk54NVBHcldsb2s4UEJnaEhUT25rQ1NMd0RueFdUVF8wbTZLZkZEbjVOc0NwUngycTdvbVNjd2NmcEhsbXJMdDJnRHljYzBjZlctOE1pNzZsQXlDSFFFV1drTFdubUU0LVdYSUs1ME1hang4YS1vZ2YxakpJZ01lNzVUWDJCVDFXbUtnMFlxV2dYM0pxZTZLdlE?oc=5
d698e0776396,disclosure,2025-09-26T07:00:00+00:00,Google News Backup: Core Lithium,https://news.google.com/rss/articles/CBMiugFBVV95cUxPQUhReEZDTVBSMWE5cGZiVm1KeFVsUS1fb3E2UTYzZ21UYll4a2JCTUZTVHp1TEY4dFA3Z2RjWXlwSmtGckM1eG0zdTd3a294eWJQY24td2pWLTRyb1FxdnFxbkVkaFB5aTNhMTNjc2FCV2U2bDNDcWdrdDBRaU9fZHZLbjRtb3pocXZYOWNHaktKQ3VKa0ZiY3lBMnROdm5yT2hDVWhhX2xubTlvcmtWV04zMEgzaWY2aUE?oc=5,Core Lithium share price rises on 'more profitable' operating model for mine restart - The Motley Fool Australia,Core Lithium重启复产,Core Lithium share price rises on 'more profitable' operating model for mine restart The Motley Fool Australia,Australia / Core Lithium：供给收缩，需关注对供应安全、采购成本和资源配置节奏的影响。,Australia,Core Lithium,,lithium,供给收缩,供应扰动,负面,150,P1,70,0,上行,中,False,,,https://news.google.com/rss/articles/CBMiugFBVV95cUxPQUhReEZDTVBSMWE5cGZiVm1KeFVsUS1fb3E2UTYzZ21UYll4a2JCTUZTVHp1TEY4dFA3Z2RjWXlwSmtGckM1eG0zdTd3a294eWJQY24td2pWLTRyb1FxdnFxbkVkaFB5aTNhMTNjc2FCV2U2bDNDcWdrdDBRaU9fZHZLbjRtb3pocXZYOWNHaktKQ3VKa0ZiY3lBMnROdm5yT2hDVWhhX2xubTlvcmtWV04zMEgzaWY2aUE?oc=5
cf2a4c22dc41,disclosure,2026-05-15T07:00:00+00:00,Google News Backup: Lithium Americas,https://news.google.com/rss/articles/CBMimAFBVV95cUxNYzhzZHgwV1lFTHI5LVdTNEZxcWtoTjZmM0lEZkdGNy1oa1lmMk1nSTBsWHBkUUFQQUFOTmViVVRMU3VKQXc1XzdsbG9tV2pIcFNGREFoam9INDJSSTdael9UNE9hck5JWUlBdGgyTDcwM0FGSjVFR3huWG0yTWQxMnlDMkFYTm1nR3g4OExkQWYxSjduOHgxbw?oc=5,Lithium Americas Thacker Pass Tariffs: 2026 Cost Analysis - Discovery Alert,Lithium Americas Thacker Pass项目：其他,Lithium Americas Thacker Pass Tariffs: 2026 Cost Analysis Discovery Alert,Canada / Lithium Americas / Thacker Pass：其他，需关注对供应安全、采购成本和资源配置节奏的影响。,Canada,Lithium Americas,Thacker Pass,lithium,其他,重大冲击,中性,150,P1,70,0,中性,高,False,Thacker Pass,Thacker Pass,https://news.google.com/rss/articles/CBMimAFBVV95cUxNYzhzZHgwV1lFTHI5LVdTNEZxcWtoTjZmM0lEZkdGNy1oa1lmMk1nSTBsWHBkUUFQQUFOTmViVVRMU3VKQXc1XzdsbG9tV2pIcFNGREFoam9INDJSSTdael9UNE9hck5JWUlBdGgyTDcwM0FGSjVFR3huWG0yTWQxMnlDMkFYTm1nR3g4OExkQWYxSjduOHgxbw?oc=5
